ISIN,UCITS, UCITS KIID Ongoing Charge,UCITS KIID Ongoing Charge Date
AU0000044828,,,
AU0000169229,,,
AU0000209348,,,
AU0000254278,,,
AU60ETL01863,,,
AU60ETL03315,,,
AU60HGI17949,,,
AU60HGI34266,,,
AU60HGI37475,,,
AU60HGI41881,,,
AU60HGI46484,,,
AU60HGI54686,,,
AU60HGI59909,,,
AU60HGI71276,,,
AU60HGI84469,,,
AU60HOW00528,,,
AU60HOW01658,,,
AU60HOW55043,,,
AU60HOW87434,,,
AU60IOF00463,,,
AU60IOF00471,,,
AU60IOF01115,,,
AU60IOF01131,,,
AU60IOF01271,,,
AU60IOF01412,,,
AU60IOF01453,,,
GB0001397008,Yes,,
GB0001920486,Yes,1.33,2024-07-31 00:00:00
GB0001990497,No,,
GB0002398047,Yes,,
GB0002540127,No,1.96,2024-02-12 00:00:00
GB0002643673,Yes,,
GB0002703972,Yes,,
GB0002725421,No,1.98,2024-02-12 00:00:00
GB0002762101,Yes,,
GB0002794682,Yes,,
GB0002796067,Yes,,
GB0003222873,Yes,,
GB0003232138,Yes,,
GB0003243465,Yes,1.52,2024-02-12 00:00:00
GB0003486148,Yes,,
GB0004209762,Yes,,
GB0004210323,Yes,,
GB0004210760,No,,
GB0004213228,Yes,,
GB0004213442,Yes,,
GB0004213772,No,,
GB0004216239,Yes,,
GB0004218169,Yes,,
GB0004489455,Yes,0.29,2024-04-10 00:00:00
GB0005006183,Yes,,
GB0005027221,Yes,1.65,2024-03-20 00:00:00
GB0005027338,Yes,1.68,2024-07-31 00:00:00
GB0005030043,Yes,0.85,2024-03-20 00:00:00
GB0005030373,Yes,0.85,2024-07-31 00:00:00
GB0005211817,Yes,,
GB0006155450,No,,
GB0006155674,No,,
GB0007017907,Yes,1.14,2024-02-12 00:00:00
GB0007018194,Yes,1.73,2024-07-31 00:00:00
GB0007033870,Yes,1.14,2024-02-12 00:00:00
GB0007447286,Yes,1.73,2024-03-20 00:00:00
GB0007447625,Yes,0.85,2024-03-20 00:00:00
GB0007451072,Yes,0.88,2024-02-12 00:00:00
GB0007451965,Yes,0.49,2024-02-12 00:00:00
GB0007452377,Yes,0.49,2024-02-12 00:00:00
GB0007476087,Yes,1.69,2024-03-20 00:00:00
GB0007476426,Yes,0.89,2024-03-20 00:00:00
GB0007493033,Yes,1.68,2024-03-20 00:00:00
GB0007493470,Yes,0.88,2024-03-20 00:00:00
GB0007494221,Yes,0.88,2024-03-20 00:00:00
GB0007495293,Yes,1.33,2024-07-31 00:00:00
GB0007502080,Yes,0.7,2024-02-12 00:00:00
GB0007533820,Yes,0.7,2024-07-31 00:00:00
GB0007673055,Yes,0.93,2024-02-12 00:00:00
GB0007674244,Yes,0.54,2024-02-12 00:00:00
GB0007674467,Yes,0.54,2024-02-12 00:00:00
GB0007680183,Yes,1.77,2024-03-20 00:00:00
GB0007681603,Yes,0.89,2024-03-20 00:00:00
GB0007683203,Yes,1.74,2024-02-12 00:00:00
GB0007685026,Yes,0.86,2024-02-12 00:00:00
GB0007698847,Yes,1.65,2024-03-20 00:00:00
GB0007716078,Yes,0.88,2024-03-20 00:00:00
GB0008058074,No,,
GB0008063942,Yes,,
GB0008068446,Yes,,
GB0008088170,Yes,,
GB0008088394,Yes,,
GB0008089251,Yes,,
GB0008089368,Yes,,
GB0008106527,Yes,,
GB0008109208,Yes,,
GB0008110644,Yes,,
GB0008112467,Yes,,
GB0008127119,Yes,,
GB0008136391,Yes,,
GB0008158734,Yes,,
GB0008160250,Yes,,
GB0008160706,Yes,,
GB0008160813,Yes,,
GB0008165531,Yes,,
GB0008165861,Yes,,
GB0008446956,Yes,,
GB0009065060,No,,
GB0009580571,No,,
GB0009604389,Yes,,
GB0009665448,Yes,,
GB0009732768,Yes,,
GB0009749127,Yes,,
GB0009751644,Yes,,
GB0030164460,Yes,,
GB0030388820,Yes,,
GB0030388937,Yes,,
GB0030617699,Yes,0.88,2024-03-20 00:00:00
GB0030617707,Yes,1.65,2024-03-20 00:00:00
GB0030714900,Yes,,
GB0030715089,Yes,,
GB0030956832,Yes,0.85,2024-03-20 00:00:00
GB0030956949,Yes,1.73,2024-03-20 00:00:00
GB0030997042,Yes,,
GB0030997158,Yes,,
GB0031034902,Yes,,
GB0031053118,Yes,,
GB0031108763,Yes,,
GB0031109514,Yes,,
GB0031250524,Yes,1.68,2024-03-20 00:00:00
GB0031252678,Yes,,
GB0031252785,Yes,,
GB0031263899,Yes,0.85,2024-02-12 00:00:00
GB0031412744,No,2.02,2024-02-12 00:00:00
GB0031412850,No,2.02,2024-02-12 00:00:00
GB0031412967,No,2.02,2024-02-12 00:00:00
GB0031413049,No,2.02,2024-02-12 00:00:00
GB0031413593,No,2.06,2024-02-12 00:00:00
GB0031429219,No,,
GB0031731259,Yes,,
GB0031833402,Yes,1.73,2024-02-12 00:00:00
GB0031860595,Yes,1.74,2024-02-12 00:00:00
GB0031860934,Yes,1.75,2024-02-12 00:00:00
GB0031861015,Yes,1.85,2024-02-12 00:00:00
GB0031919235,Yes,0.83,2024-02-12 00:00:00
GB0031919342,Yes,1.74,2024-02-12 00:00:00
GB0032046509,Yes,,
GB0032046616,Yes,,
GB0032049289,Yes,,
GB0032049396,Yes,,
GB0032209792,Yes,,
GB0032332784,Yes,,
GB0032377201,No,,
GB0032381765,Yes,,
GB0032385857,Yes,,
GB0032437948,Yes,1.65,2024-07-31 00:00:00
GB0032438466,Yes,1.65,2024-04-10 00:00:00
GB0032473653,Yes,0.88,2024-07-31 00:00:00
GB0032477308,Yes,1.4,2024-07-31 00:00:00
GB0032477522,Yes,0.57,2024-07-31 00:00:00
GB0032477639,Yes,1.4,2024-07-31 00:00:00
GB0032556929,Yes,,
GB0032557000,Yes,,
GB0032653676,Yes,,
GB0032653890,Yes,,
GB0032653908,Yes,,
GB0032733262,Yes,,
GB0033169425,Yes,,
GB0033169755,Yes,,
GB0033169862,Yes,,
GB0033189373,Yes,,
GB0033326587,Yes,,
GB0033326702,Yes,,
GB0033328526,Yes,,
GB0033328963,Yes,,
GB0033330712,Yes,,
GB0033330829,Yes,,
GB0033331017,Yes,,
GB0033331231,Yes,,
GB0033331678,Yes,,
GB0033332080,Yes,,
GB0033365312,Yes,,
GB0033514828,Yes,0.02,2024-02-12 00:00:00
GB0033515122,Yes,0.04,2024-02-12 00:00:00
GB0033681031,Yes,0.07,2024-02-12 00:00:00
GB0033777896,Yes,,
GB0033822007,Yes,,
GB0033822999,Yes,,
GB0033840132,Yes,,
GB0033973560,Yes,,
GB0033997940,Yes,,
GB0033998021,Yes,,
GB0033998138,Yes,,
GB0034021427,Yes,,
GB0034021534,Yes,,
GB0034021641,Yes,,
GB0034219328,Yes,0.07,2024-02-12 00:00:00
GB0034219435,Yes,1.73,2024-02-12 00:00:00
GB0034219658,Yes,0.07,2024-07-31 00:00:00
GB0034219989,Yes,0.07,2024-02-12 00:00:00
GB0034276286,Yes,0.68,2024-02-12 00:00:00
GB00B00K2P80,Yes,0.41,2024-03-20 00:00:00
GB00B00K2Q97,Yes,0.37,2024-02-12 00:00:00
GB00B00K2R05,Yes,0.07,2024-02-12 00:00:00
GB00B00K2Z88,Yes,0.37,2024-03-20 00:00:00
GB00B00K3006,Yes,0.33,2024-02-12 00:00:00
GB00B00K3113,Yes,0.03,2024-02-12 00:00:00
GB00B01RTS09,Yes,,
GB00B01T1F74,Yes,,
GB00B01T1G81,Yes,,
GB00B01T2Q54,Yes,,
GB00B020H958,Yes,0.07,2024-02-12 00:00:00
GB00B02W2291,No,1.67,2024-03-20 00:00:00
GB00B02ZBV03,Yes,0.57,2024-03-20 00:00:00
GB00B02ZBX27,Yes,0.35,2024-03-20 00:00:00
GB00B03TNM64,Yes,0.04,2024-02-12 00:00:00
GB00B03TPL97,Yes,0.04,2024-02-12 00:00:00
GB00B03WSZ36,Yes,,
GB00B046PC03,Yes,,
GB00B046PF34,Yes,,
GB00B068CD42,Yes,,
GB00B06CPG09,Yes,,
GB00B06G4Z40,No,,
GB00B06G5068,No,,
GB00B06G5514,No,,
GB00B06G5515,No,,
GB00B06G8Q39,No,,
GB00B06G8R46,No,,
GB00B06G8S52,No,,
GB00B06L7J47,Yes,0.07,2024-02-12 00:00:00
GB00B06LCP51,Yes,,
GB00B06T5279,No,,
GB00B06T5386,No,,
GB00B06T5493,No,,
GB00B06T5501,No,,
GB00B06T5618,No,,
GB00B06T5725,No,,
GB00B0C3X746,Yes,,
GB00B0C6K167,Yes,,
GB00B0C9GW89,Yes,,
GB00B0D09R62,Yes,0.32,2024-02-12 00:00:00
GB00B0H34Y35,Yes,,
GB00B0H53J71,Yes,,
GB00B0HZFB34,Yes,,
GB00B0JYQW68,Yes,0.04,2024-07-31 00:00:00
GB00B0K9KH36,Yes,,
GB00B0K9N298,Yes,,
GB00B0K9VW59,Yes,,
GB00B0K9XZ21,Yes,,
GB00B0LBR663,Yes,,
GB00B0LL7Q68,Yes,,
GB00B0LMB672,No,,
GB00B0LYSF14,Yes,0.33,2024-02-12 00:00:00
GB00B0LYSG21,Yes,0.03,2024-02-12 00:00:00
GB00B0LYSH38,Yes,0.68,2024-03-20 00:00:00
GB00B0LZBB16,Yes,0.37,2024-03-20 00:00:00
GB00B0MM5X18,Yes,,
GB00B0MM9F16,Yes,,
GB00B0N31573,No,,
GB00B0P42H77,Yes,,
GB00B0P7Y922,Yes,,
GB00B0PG4T93,No,,
GB00B0PKSC27,Yes,,
GB00B0YVM244,Yes,,
GB00B0YVM467,Yes,,
GB00B0YVNT86,Yes,,
GB00B0Z1MP63,Yes,,
GB00B0Z53118,Yes,,
GB00B0ZDNH16,Yes,,
GB00B0ZGLT86,Yes,,
GB00B0ZGMC84,Yes,,
GB00B0ZGMF16,Yes,,
GB00B0ZKHN66,Yes,,
GB00B0ZL9T97,Yes,,
GB00B0ZL9V10,Yes,,
GB00B0ZLB823,Yes,,
GB00B0ZLB930,Yes,,
GB00B0ZLCP68,Yes,,
GB00B0ZLCQ75,Yes,,
GB00B0ZLFF75,Yes,,
GB00B0ZY6B93,Yes,,
GB00B10QS005,No,,
GB00B10QS336,No,,
GB00B10QS559,Yes,,
GB00B11PYN15,Yes,,
GB00B11Q0P86,Yes,,
GB00B11Q0R01,Yes,,
GB00B11TDF81,Yes,,
GB00B11TDH06,Yes,,
GB00B11XYG89,Yes,,
GB00B13ZX323,Yes,,
GB00B13ZY511,Yes,,
GB00B1438639,No,,
GB00B1442M04,No,,
GB00B1443T48,No,,
GB00B17KPM65,Yes,,
GB00B17M7824,Yes,,
GB00B17M7931,No,,
GB00B1809L28,No,,
GB00B19FLZ44,No,1.74,2024-02-12 00:00:00
GB00B1CKQF12,Yes,1.74,2024-02-12 00:00:00
GB00B1CKS446,Yes,1.74,2024-02-12 00:00:00
GB00B1FR8Q49,Yes,,
GB00B1FR8R55,Yes,,
GB00B1FR8S62,Yes,,
GB00B1FR8T79,Yes,,
GB00B1GC6T71,Yes,,
GB00B1GJNX12,Yes,1.64,2024-02-12 00:00:00
GB00B1GK1M92,Yes,,
GB00B1J11W98,Yes,,
GB00B1J11Y13,Yes,,
GB00B1J2ST80,Yes,,
GB00B1J2SW10,Yes,,
GB00B1J2SY34,Yes,,
GB00B1J2T060,Yes,,
GB00B1J2TC88,Yes,,
GB00B1J2TF10,Yes,,
GB00B1J36081,Yes,,
GB00B1J36206,Yes,,
GB00B1J36420,Yes,,
GB00B1J36750,Yes,,
GB00B1J36974,Yes,,
GB00B1J36C02,Yes,,
GB00B1L74484,Yes,0.84,2024-02-12 00:00:00
GB00B1VGDC62,Yes,,
GB00B1VGDD79,Yes,,
GB00B1WMPS38,Yes,,
GB00B1WMPT45,Yes,,
GB00B1WMPV66,Yes,,
GB00B1WPDJ97,Yes,0.78,2024-02-12 00:00:00
GB00B1WSC029,Yes,0.78,2024-02-12 00:00:00
GB00B1WSC573,Yes,0.08,2024-02-12 00:00:00
GB00B1WT7003,Yes,,
GB00B1WT7110,Yes,,
GB00B1WT7334,Yes,,
GB00B1WT7441,Yes,,
GB00B1WTK343,Yes,,
GB00B1WTK566,Yes,,
GB00B24CM439,Yes,,
GB00B24CMX25,Yes,,
GB00B28THS91,Yes,,
GB00B29Y5T00,Yes,,
GB00B29ZLW82,Yes,,
GB00B29ZM140,Yes,,
GB00B2QG5Q65,Yes,,
GB00B2QG5T96,Yes,,
GB00B2QG5V19,Yes,,
GB00B2RKL926,Yes,,
GB00B2RKLB47,Yes,,
GB00B2RKLC53,Yes,,
GB00B2RKLD60,Yes,,
GB00B2RKLF84,Yes,,
GB00B2RKLG91,Yes,,
GB00B2RKSM47,Yes,,
GB00B2RKT549,Yes,,
GB00B2RKTR66,Yes,,
GB00B3B4JF96,Yes,0.85,2024-04-10 00:00:00
GB00B3BDK198,Yes,,
GB00B3BDK206,Yes,,
GB00B3BDK420,Yes,,
GB00B3BDK537,Yes,,
GB00B3BDK974,Yes,,
GB00B3BDKB93,Yes,,
GB00B3BDPL47,No,,
GB00B3BDPM53,No,,
GB00B3BDPP84,Yes,,
GB00B3BDPQ91,Yes,,
GB00B3BDPR09,Yes,,
GB00B3BDPS16,Yes,,
GB00B3BDPT23,Yes,,
GB00B3BDPW51,Yes,,
GB00B3BDQ773,Yes,,
GB00B3BDQ997,Yes,,
GB00B3BDQD38,Yes,,
GB00B3BDQF51,Yes,,
GB00B3CLNL30,Yes,,
GB00B3CLNM47,Yes,,
GB00B3CPX151,Yes,1.76,2024-04-10 00:00:00
GB00B3CPX375,Yes,0.91,2024-04-10 00:00:00
GB00B3CT7K45,Yes,,
GB00B3D49X55,Yes,,
GB00B3DBGZ75,Yes,,
GB00B3DBH095,Yes,,
GB00B3DBH541,Yes,,
GB00B3DYKR64,Yes,0.58,2024-07-31 00:00:00
GB00B3FG3931,Yes,,
GB00B3FG3B57,Yes,,
GB00B3K5YN63,Yes,,
GB00B3K61166,Yes,,
GB00B3K61612,Yes,,
GB00B3KN5S29,Yes,,
GB00B3KN5V57,Yes,,
GB00B3KN5W64,Yes,,
GB00B3KN5X71,Yes,,
GB00B3KN6011,Yes,,
GB00B3KN6235,Yes,,
GB00B3KN8835,No,,
GB00B3KN8942,No,,
GB00B3KN8B66,Yes,,
GB00B3KN8D80,Yes,,
GB00B3KN8F05,Yes,,
GB00B3KN8M71,Yes,,
GB00B3KN8N88,Yes,,
GB00B3L49Y88,Yes,,
GB00B3L4B084,Yes,,
GB00B3L4C611,Yes,,
GB00B3L4CB62,Yes,,
GB00B3L4KS97,Yes,,
GB00B3LLF521,Yes,,
GB00B3M8NG92,Yes,,
GB00B3MLZ956,Yes,,
GB00B3MX6Y33,No,1.67,2024-03-20 00:00:00
GB00B3NBHQ57,No,,
GB00B3PHCS86,No,,
GB00B3PJPM93,No,1.71,2024-05-21 00:00:00
GB00B3QGT273,No,,
GB00B3QVWG79,No,,
GB00B3QXJQ23,Yes,,
GB00B3QXM638,Yes,,
GB00B3R26X49,Yes,,
GB00B3RDF749,Yes,,
GB00B3RT4203,Yes,,
GB00B3T32044,Yes,,
GB00B3T38Z17,No,,
GB00B3TTQV12,Yes,,
GB00B3TVDV62,No,,
GB00B3VCWF43,Yes,,
GB00B3VDZ582,Yes,,
GB00B3VN2918,Yes,,
GB00B3VZC642,Yes,1.68,2024-03-20 00:00:00
GB00B3WR1X97,Yes,,
GB00B3X5HP65,No,,
GB00B3XNRK55,No,,
GB00B3Z2J374,No,,
GB00B3ZRDK71,Yes,,
GB00B4078N73,Yes,,
GB00B409PD29,Yes,0.88,2024-02-12 00:00:00
GB00B412VB02,Yes,0.88,2024-07-31 00:00:00
GB00B41FZF10,Yes,0.57,2024-02-12 00:00:00
GB00B42TCM86,Yes,,
GB00B42VM571,Yes,,
GB00B43H2T82,Yes,,
GB00B43L0521,Yes,,
GB00B44F5L48,Yes,,
GB00B45GW269,No,,
GB00B45XDC47,No,,
GB00B463T369,No,,
GB00B463Y203,Yes,1.68,2024-03-20 00:00:00
GB00B4JTJZ34,Yes,0.69,2024-03-20 00:00:00
GB00B4JVJS21,Yes,,
GB00B4JVX467,Yes,1.74,2024-02-12 00:00:00
GB00B4K8Z514,Yes,,
GB00B4KNFV27,Yes,,
GB00B4KPTR25,No,,
GB00B4KX5S91,Yes,0.36,2024-02-12 00:00:00
GB00B4KXCG68,No,1.96,2024-02-12 00:00:00
GB00B4LMJ388,Yes,0.88,2024-03-20 00:00:00
GB00B4MTJQ14,Yes,,
GB00B4N77D77,Yes,0.61,2024-02-12 00:00:00
GB00B4P4R697,Yes,0.76,2024-07-31 00:00:00
GB00B4QHVK97,Yes,,
GB00B4R56V84,Yes,,
GB00B4VL7421,Yes,,
GB00B4W1D983,Yes,,
GB00B4W6RH96,Yes,,
GB00B4WKBT16,No,,
GB00B4X2C594,No,1.67,2024-03-20 00:00:00
GB00B4Y1C447,Yes,1.64,2024-02-12 00:00:00
GB00B4YXVT80,Yes,1.09,2024-07-31 00:00:00
GB00B50VN861,Yes,,
GB00B51L3292,No,1.51,2024-02-12 00:00:00
GB00B51R9749,Yes,,
GB00B51RN495,Yes,,
GB00B51Z2Z71,Yes,,
GB00B51Z5812,Yes,,
GB00B529JB32,Yes,,
GB00B54J0L85,Yes,0.86,2024-02-12 00:00:00
GB00B5681Y35,Yes,,
GB00B56X7V74,Yes,,
GB00B56ZXF93,Yes,,
GB00B575TL64,Yes,,
GB00B57LBZ25,No,1.52,2024-02-12 00:00:00
GB00B58P5X92,Yes,,
GB00B58RLX77,Yes,1.52,2024-02-12 00:00:00
GB00B58YK641,Yes,,
GB00B590KM71,Yes,,
GB00B5BMZS29,Yes,,
GB00B5BT8739,No,,
GB00B5BTGN53,Yes,1.4,2024-07-31 00:00:00
GB00B5KKCS68,Yes,1.68,2024-07-31 00:00:00
GB00B5KKCX12,Yes,1.07,2024-07-31 00:00:00
GB00B5KTVV95,Yes,0.04,2024-07-31 00:00:00
GB00B5LN5X09,Yes,,
GB00B5LZWD55,Yes,,
GB00B5P5Y137,No,,
GB00B5PDYZ18,No,,
GB00B5SMF529,Yes,,
GB00B5T7PM36,Yes,0.87,2024-07-31 00:00:00
GB00B5TPWM66,Yes,0.9,2024-02-12 00:00:00
GB00B5TWYJ86,No,,
GB00B5VYGQ34,Yes,0.82,2024-02-12 00:00:00
GB00B5W3L866,Yes,,
GB00B5WBM546,Yes,,
GB00B5WGH651,No,2.05,2024-02-12 00:00:00
GB00B60F5Q72,No,,
GB00B60J6553,No,,
GB00B60W8701,Yes,,
GB00B60XBX02,Yes,,
GB00B60YHT19,Yes,,
GB00B60Z0952,Yes,,
GB00B60ZX639,Yes,,
GB00B6135H10,Yes,,
GB00B6193536,Yes,0.89,2024-02-12 00:00:00
GB00B61H3Z77,No,0.21,2024-02-12 00:00:00
GB00B62HVR46,Yes,1.31,2024-07-31 00:00:00
GB00B62SGY92,Yes,0.89,2024-02-12 00:00:00
GB00B633V157,Yes,,
GB00B63CMG44,No,0.66,2024-02-12 00:00:00
GB00B63GZ232,Yes,,
GB00B65W2K67,Yes,,
GB00B6715Q82,Yes,0.57,2024-02-12 00:00:00
GB00B67PDX37,No,,
GB00B68P2C40,Yes,,
GB00B68P3547,Yes,,
GB00B68SFJ13,Yes,0.86,2024-07-31 00:00:00
GB00B68V5Y56,Yes,,
GB00B6RQV980,Yes,0.07,2024-02-12 00:00:00
GB00B6RRQ855,Yes,0.07,2024-02-12 00:00:00
GB00B6RRQB82,Yes,0.07,2024-02-12 00:00:00
GB00B6SWKM12,Yes,,
GB00B6TX3022,Yes,1.48,2024-02-12 00:00:00
GB00B6XY7V09,Yes,0.56,2024-02-12 00:00:00
GB00B6YWFD12,Yes,,
GB00B6ZHN203,Yes,0.76,2024-07-31 00:00:00
GB00B7167P92,Yes,,
GB00B716PN33,No,1.63,2024-02-12 00:00:00
GB00B71DPP64,Yes,0.85,2024-03-20 00:00:00
GB00B739TP06,No,,
GB00B74TXK27,No,1.51,2024-02-12 00:00:00
GB00B75D7782,Yes,,
GB00B77CSM51,Yes,,
GB00B79BVS75,No,1.63,2024-02-12 00:00:00
GB00B7BX6S68,Yes,1.33,2024-07-31 00:00:00
GB00B7FFY956,Yes,,
GB00B7FNQ261,Yes,,
GB00B7GSYN71,Yes,0.7,2024-02-12 00:00:00
GB00B7GZWL27,Yes,,
GB00B7JBM739,Yes,,
GB00B7JZZK97,No,1.19,2024-02-12 00:00:00
GB00B7KYJH09,Yes,1.73,2024-02-12 00:00:00
GB00B7M85J46,No,0.69,2024-03-20 00:00:00
GB00B7MM5299,No,1.63,2024-02-12 00:00:00
GB00B7N1FP89,No,1.51,2024-02-12 00:00:00
GB00B7N7P453,Yes,,
GB00B7NHVR09,Yes,,
GB00B7PVFH84,No,,
GB00B7S7MS31,Yes,,
GB00B7S8R478,No,,
GB00B7V7B727,Yes,,
GB00B7VD8806,No,,
GB00B7VD9Z41,No,,
GB00B7W08J14,Yes,,
GB00B7YR0M72,No,0.68,2024-03-20 00:00:00
GB00B8113P38,No,0.96,2024-03-20 00:00:00
GB00B818S598,Yes,,
GB00B8289886,No,0.69,2024-03-20 00:00:00
GB00B833F396,No,,
GB00B83JY963,Yes,,
GB00B83MQQ67,Yes,,
GB00B83N9J32,Yes,,
GB00B83VFR76,No,1.17,2024-07-12 00:00:00
GB00B83WB618,Yes,,
GB00B84M8M53,No,,
GB00B85RDT13,Yes,,
GB00B87K9900,No,1.14,2024-02-12 00:00:00
GB00B87M3G18,Yes,0.96,2024-02-12 00:00:00
GB00B87TDF15,No,,
GB00B886PJ90,Yes,,
GB00B88HSJ33,No,1.13,2024-02-12 00:00:00
GB00B88P7D42,Yes,,
GB00B89MF187,No,1.29,2024-03-20 00:00:00
GB00B89YS045,No,1.28,2024-03-20 00:00:00
GB00B8B1CF61,No,1.29,2024-03-20 00:00:00
GB00B8B6NJ28,No,1.04,2024-02-12 00:00:00
GB00B8BL1150,No,,
GB00B8BRW432,Yes,,
GB00B8DSVP82,Yes,,
GB00B8DWBL68,No,,
GB00B8GJGW07,Yes,0.56,2024-02-12 00:00:00
GB00B8HLB865,Yes,,
GB00B8J9TP16,No,1.28,2024-03-20 00:00:00
GB00B8J9W526,No,0.68,2024-03-20 00:00:00
GB00B92MRV68,No,0.49,2024-02-12 00:00:00
GB00B94Q8L39,No,0.68,2024-03-20 00:00:00
GB00B94SCD93,No,0.71,2024-03-20 00:00:00
GB00B96RS580,No,0.71,2024-03-20 00:00:00
GB00B9DFQH34,No,0.68,2024-03-20 00:00:00
GB00BBMJ9J35,Yes,,
GB00BBMJ9X78,No,,
GB00BBMJ9Y85,No,,
GB00BBMJC493,Yes,,
GB00BBMJC501,Yes,,
GB00BBMJC618,Yes,,
GB00BBPJF697,Yes,,
